TaxonConcept,UUID,TaxonRank,AccordingTo,EIVEres-M,EIVEres-M.nw3,EIVEres-M.n,EIVEres-N,EIVEres-N.nw3,EIVEres-N.n,EIVEres-R,EIVEres-R.nw3,EIVEres-R.n,EIVEres-L,EIVEres-L.nw3,EIVEres-L.n,EIVEres-T,EIVEres-T.nw3,EIVEres-T.n
Gentianella engadinensis,d41f4343-3a82-48bc-bd4e-d0858ab357af,Species,EuroMed,3.3,2.0,2,2.2,3.1,2,8.7,4.4,2,8.5,4.0,2,1.4,3.4,2
Gentianella germanica,b35b47e8-2c16-4af6-a3ad-e16712728f3b,Species,EuroMed,3.8,2.3,10,3.1,2.9,9,7.1,4.6,10,7.2,2.8,9,3.7,3.4,9
Gentianella germanica aggr.,ASaa2c1b-781b-4e58-a119-4e325bb8091a,Species Aggregate,additionalTaxa,4.0,3.6,1,2.5,2.4,1,6.3,6.6,1,7.6,4.4,1,4.1,6.8,1
Gentianella germanica aggr. s. l.,ASc09640-d038-42fe-b07f-a0a21728496f,Species Aggregate s. l.,additionalTaxa,4.0,4.1,2,3.1,2.9,1,7.0,2.8,1,6.9,2.8,1,,,
Gentianella germanica subsp. germanica,0104810b-97f2-4579-bbff-70eadf44985d,Subspecies,EuroMed,3.5,2.2,1,3.1,2.2,1,8.1,2.3,1,6.9,2.8,1,3.6,2.5,1
Gentianella germanica subsp. saxonica,7fa98143-cc85-40ee-8b34-636e1f432350,Subspecies,EuroMed,3.5,2.2,1,3.1,2.2,1,8.1,2.3,1,6.9,2.8,1,3.6,2.5,1
Gentianella liburnica,e91f581c-c586-4877-88dd-105326c19d61,Species,EuroMed,4.0,1.8,1,2.5,2.4,1,9.8,2.2,1,7.6,2.2,1,0.8,2.3,1
Gentianella lutescens,fe0b890c-9792-4dd1-bb15-6bb3dd64491e,Species,EuroMed,4.0,2.8,6,2.8,3.7,4,5.7,5.9,5,7.0,2.5,4,3.1,3.4,5
Gentianella lutescens subsp. lutescens,509b62aa-ea7b-4326-8f3e-4a06d3f80900,Subspecies,EuroMed,4.4,2.2,1,2.6,2.4,1,4.8,2.4,1,6.9,2.5,1,3.7,2.4,1
Gentianella nana,9ce33939-ceb3-491a-80db-e3b46922b88e,Species,EuroMed,4.7,4.2,3,4.0,5.5,3,6.0,8.3,3,8.0,2.7,3,0.4,3.1,3
Gentianella obtusifolia,8f0e17d7-8754-4fef-b0af-bbec6b7006ff,Species,EuroMed,4.4,2.2,1,2.6,2.4,1,6.0,2.4,1,8.2,2.5,1,3.7,2.4,1
Gentianella pilosa,fe37724f-ee5f-473f-b15e-1ea16486b104,Species,EuroMed,3.7,2.9,2,2.8,2.8,2,7.6,6.7,2,7.3,2.8,2,2.7,4.9,2
Gentianella praecox,8ad8fcef-3d9a-4cc7-be93-02c151256f60,Species,EuroMed,3.6,2.2,2,2.3,3.0,2,4.8,2.5,2,8.2,2.5,2,3.2,3.3,2
Gentianella praecox subsp. bohemica,1ac24eae-828a-4ded-8154-0bbb8debdb23,Subspecies,EuroMed,3.6,2.2,2,2.3,2.9,2,4.7,2.5,2,8.2,2.5,2,3.2,3.4,2
Gentianella ramosa,017e8e63-9ce0-47e1-b243-7958abcc4d0d,Species,EuroMed,3.9,2.5,3,2.0,3.2,3,4.1,7.4,3,8.4,3.7,3,1.4,3.2,3
Gentianella tenella,b921ce67-185d-4a03-8409-297b23b9f06c,Species,EuroMed,4.6,2.2,10,3.6,6.4,7,6.3,5.7,8,8.2,3.7,7,0.4,2.5,8
Gentianella uliginosa,b2310592-6fb2-440f-aea1-29f31c25d18d,Species,EuroMed,5.8,2.7,7,2.4,3.4,6,6.6,4.1,6,8.0,1.8,6,4.2,2.4,5
